Date , Hour , Time Block,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
07-12-2023,1,00:00 - 00:15,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28
20,19:00 - 19:15,5313.02,5313.02,5313.02,5313.02,5313.02,5313.02,5313.02,5313.02,5313.02,5313.02,5313.02,5313.02,5313.02,5313.02
19:15 - 19:30,4800.76,4800.76,4800.76,4800.76,4800.76,4800.76,4800.76,4800.76,4800.76,4800.76,4800.76,4800.76,4800.76,4800.76
19:30 - 19:45,4499.65,4499.65,4499.65,4499.65,4499.65,4499.65,4499.65,4499.65,4499.65,4499.65,4499.65,4499.65,4499.65,4499.65
19:45 - 20:00,3969.06,3969.06,3969.06,3969.06,3969.06,3969.06,3969.06,3969.06,3969.06,3969.06,3969.06,3969.06,3969.06,3969.06
21,20:00 - 20:15,3899.08,3899.08,3899.08,3899.08,3899.08,3899.08,3899.08,3899.08,3899.08,3899.08,3899.08,3899.08,3899.08,3899.08
20:15 - 20:30,3330.61,3330.61,3330.61,3330.61,3330.61,3330.61,3330.61,3330.61,3330.61,3330.61,3330.61,3330.61,3330.61,3330.61
20:30 - 20:45,3330.25,3330.25,3330.25,3330.25,3330.25,3330.25,3330.25,3330.25,3330.25,3330.25,3330.25,3330.25,3330.25,3330.25
20:45 - 21:00,3330.37,3330.37,3330.37,3330.37,3330.37,3330.37,3330.37,3330.37,3330.37,3330.37,3330.37,3330.37,3330.37,3330.37
22,21:00 - 21:15,3049.87,3049.87,3049.87,3049.87,3049.87,3049.87,3049.87,3049.87,3049.87,3049.87,3049.87,3049.87,3049.87,3049.87
21:15 - 21:30,3049.75,3049.75,3049.75,3049.75,3049.75,3049.75,3049.75,3049.75,3049.75,3049.75,3049.75,3049.75,3049.75,3049.75
21:30 - 21:45,3049.69,3049.69,3049.69,3049.69,3049.69,3049.69,3049.69,3049.69,3049.69,3049.69,3049.69,3049.69,3049.69,3049.69
21:45 - 22:00,3049.62,3049.62,3049.62,3049.62,3049.62,3049.62,3049.62,3049.62,3049.62,3049.62,3049.62,3049.62,3049.62,3049.62
23,22:00 - 22:15,2689.89,2689.89,2689.89,2689.89,2689.89,2689.89,2689.89,2689.89,2689.89,2689.89,2689.89,2689.89,2689.89,2689.89
22:15 - 22:30,2800.33,2800.33,2800.33,2800.33,2800.33,2800.33,2800.33,2800.33,2800.33,2800.33,2800.33,2800.33,2800.33,2800.33
22:30 - 22:45,2800.89,2800.89,2800.89,2800.89,2800.89,2800.89,2800.89,2800.89,2800.89,2800.89,2800.89,2800.89,2800.89,2800.89
22:45 - 23:00,2884.35,2884.35,2884.35,2884.35,2884.35,2884.35,2884.35,2884.35,2884.35,2884.35,2884.35,2884.35,2884.35,2884.35
24,23:00 - 23:15,2689.73,2689.73,2689.73,2689.73,2689.73,2689.73,2689.73,2689.73,2689.73,2689.73,2689.73,2689.73,2689.73,2689.73
23:15 - 23:30,2689.71,2689.71,2689.71,2689.71,2689.71,2689.71,2689.71,2689.71,2689.71,2689.71,2689.71,2689.71,2689.71,2689.71
23:30 - 23:45,2689.50,2689.50,2689.50,2689.50,2689.50,2689.50,2689.50,2689.50,2689.50,2689.50,2689.50,2689.50,2689.50,2689.50
23:45 - 24:00,2689.42,2689.42,2689.42,2689.42,2689.42,2689.42,2689.42,2689.42,2689.42,2689.42,2689.42,2689.42,2689.42,2689.42
